"ID" "Name" "PositionCommittee" "AttendanceCommittee" "AttendanceCommittee.prop" "Firstname" "Lastname" "Nationality" "NationalParty" "EPGroup" "NeutralCommittees" "NumberCommittees" "NumberPreviousCommittees" "Incumbent" "CommitteeIncumbent" "LoyaltyEPGroup" "LoyaltyNationalParty" "ParticipationRollCall" "PolicyLoyaltyEPGroup" "PolicyLoyaltyNationalParty" "PolicyParticipationRollCall" "MP" "Minister" "PM" "PolicyMP" "PolicyMinister" "NumberReports_OwnInitiative.prev" "NumberReports" "NumberReports_Codecision" "NumberReports_OwnInitiative" "NumberShadowReports" "Committee" "Year" "Chair" "NumberCommittees.lag" "NeutralCommittees.lag" "AttendanceCommittee.prop.lag" "NumberReports_Codecision.lag" "NumberReports.lag" "NumberShadowReports.lag" "PositionCommittee.lag" "Chair.lag" "NationalPolitics" "PolicyNationalPolitics" "EP" "INI.cum" "NewMember.lag" "NumberReports_Codecision.cum" "Loyalty" "NewMemberState"
23819 "Csaba Ory" "Member" 16 0.8 "Csaba" "ORY" "Hungary" "Fidesz-Magyar Polgari Szovetseg" "PPE" 0 0 0 1 1 NA NA NA NA NA NA 1 0 0 1 0 0 2 1 1 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 1 1 6 0 0 0 NA 1
28132 "Richard James Ashworth" "Substitute" 3 0.15 "Richard" "ASHWORTH" "United Kingdom" "Conservative and Unionist Party" "PPE" 0 2 1 0 0 NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 0 0 6 0 0 0 NA 0
23713 "Mihael Brejc" "Substitute" 11 0.55 "Mihael" "BREJC" "Slovenia" "Slovenska demokratska stranka" "PPE" 0 1 1 1 1 NA NA NA NA NA NA 1 1 0 0 1 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 1 1 6 0 0 0 NA 1
4267 "Udo Bullmann" "Substitute" 12 0.6 "Udo" "BULLMANN" "Germany" "Sozialdemokratische Partei Deutschlands" "S" 0 1 1 1 1 NA NA NA NA NA NA 0 0 0 0 0 1 0 0 0 NA "EMPL" 1 0 0 0 0.222222222222222 0 0 0 0 0 0 0 6 1 0 0 NA 0
28148 "Françoise Castex" "Substitute" 9 0.45 "Francoise" "CASTEX" "France" "Parti socialiste" "S" 0 1 1 0 0 NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 0 0 6 0 0 0 NA 0
28272 "Jolanta Dickute" "Substitute" 9 0.45 "Jolanta" "DICKUTE" "Lithuania" "Darbo partija" "ALDE" 0 1 1 0 0 NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 0 0 6 0 0 0 NA 1
28298 "Iratxe Garcia Perez" "Substitute" 4 0.2 "Iratxe" "GARCIA PEREZ" "Spain" "Partido Socialista Obrero Espanol" "S" 0 1 1 0 0 NA NA NA NA NA NA 1 0 0 1 0 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 1 1 6 0 0 0 NA 0
28116 "Marian Harkin" "Substitute" 11 0.55 "Marian" "HARKIN" "Ireland" "--" "ALDE" 0 1 1 0 0 NA NA NA NA NA NA 1 0 0 NA 0 0 1 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 1 NA 6 0 0 0 NA 0
2073 "Richard Howitt" "Substitute" 10 0.5 "Richard" "HOWITT" "United Kingdom" "Labour Party" "S" 0 1 1 1 1 NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 0.333333333333333 0 0 0 0 0 0 0 6 0 0 0 NA 0
28125 "Anna Ibrisagic" "Substitute" 5 0.25 "Anna" "IBRISAGIC" "Sweden" "Moderata Samlingspartiet" "PPE" 1 1 1 0 0 NA NA NA NA NA NA 1 0 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 1 0 6 0 0 0 NA 0
