"PARTIVLG" "skyldigfri" "merpoliti" "burinne" "overvak" "ransak" "bunnsamfunn" "utdanning" "mann" "alder"
"Fremskrittspartiet (FrP)" 1 2 3 3 3 3 1 1 60
"Høyre (H)" 0 1 1 2 1 5 4 0 47
"Fremskrittspartiet (FrP)" 0 2 2 3 2 4 NA 1 30
"Fremskrittspartiet (FrP)" 0 0 0 0 1 5 4 0 25
"Fremskrittspartiet (FrP)" 0 1 2 2 2 4 NA 0 47
"Fremskrittspartiet (FrP)" 0 1 3 3 2 4 1 1 72
"Høyre (H)" 0 2 0 2 0 6 NA 1 60
"Høyre (H)" 0 1 1 3 3 4 1 0 59
"Fremskrittspartiet (FrP)" 0 1 2 2 2 5 1 0 50
"Høyre (H)" 1 0 3 NA NA 5 NA 1 79
"Fremskrittspartiet (FrP)" 0 1 3 3 3 7 1 1 67
"Høyre (H)" 1 1 3 3 3 3 NA 1 27
"Fremskrittspartiet (FrP)" 0 0 1 1 0 7 NA 1 62
"Fremskrittspartiet (FrP)" 0 0 2 2 2 4 2 1 39
"Fremskrittspartiet (FrP)" 0 1 2 2 1 6 1 1 61
"Fremskrittspartiet (FrP)" 0 2 3 3 NA 3 1 0 74
"Fremskrittspartiet (FrP)" 1 1 3 2 0 5 1 0 18
"Fremskrittspartiet (FrP)" 0 2 2 3 3 3 3 0 59
"Høyre (H)" 1 1 1 2 1 4 5 0 62
"Fremskrittspartiet (FrP)" 0 1 NA 3 NA 5 1 0 63
"Fremskrittspartiet (FrP)" 1 1 2 2 1 8 1 0 19
"Fremskrittspartiet (FrP)" 1 2 NA 3 0 9 1 1 72
"Høyre (H)" 0 1 2 2 1 4 1 1 49
"Fremskrittspartiet (FrP)" 0 1 2 2 2 6 1 1 36
"Fremskrittspartiet (FrP)" 0 2 0 3 0 5 2 0 47
"Fremskrittspartiet (FrP)" 1 1 2 2 1 9 1 0 41
"Høyre (H)" 0 2 3 3 1 3 3 1 33
"Fremskrittspartiet (FrP)" 0 1 2 3 2 5 NA 0 76
NA NA NA NA NA NA NA NA NA NA
"Fremskrittspartiet (FrP)" 1 1 3 3 1 6 1 0 46
"Fremskrittspartiet (FrP)" 1 1 2 3 2 6 1 1 43
"Fremskrittspartiet (FrP)" 0 1 3 0 0 3 1 0 34
"Fremskrittspartiet (FrP)" 0 0 1 1 2 5 1 0 18
"Fremskrittspartiet (FrP)" 1 2 3 3 3 5 1 1 68
"Høyre (H)" 0 0 0 2 2 5 4 1 40
"Fremskrittspartiet (FrP)" 0 1 2 3 3 4 3 1 41
"Fremskrittspartiet (FrP)" 0 1 3 3 2 3 1 1 32
NA NA NA NA NA NA NA NA NA NA
"Fremskrittspartiet (FrP)" 0 2 1 2 2 5 1 1 32
"Høyre (H)" 0 1 2 3 0 5 1 1 77
"Fremskrittspartiet (FrP)" 0 0 3 3 3 2 2 0 48
"Fremskrittspartiet (FrP)" 1 0 2 2 2 5 1 0 36
"Fremskrittspartiet (FrP)" 0 1 2 2 2 5 1 0 32
"Fremskrittspartiet (FrP)" 0 2 3 3 3 4 1 0 79
"Fremskrittspartiet (FrP)" 0 2 2 3 0 6 4 1 40
"Fremskrittspartiet (FrP)" 0 1 3 3 1 5 1 0 51
"Fremskrittspartiet (FrP)" 1 NA NA 3 2 4 1 1 22
"Høyre (H)" 0 1 2 3 2 5 1 1 53
"Fremskrittspartiet (FrP)" 1 2 1 3 1 5 4 1 68
"Høyre (H)" 0 1 2 3 1 3 4 0 26
"Fremskrittspartiet (FrP)" 1 1 1 2 0 10 1 1 43
"Høyre (H)" 0 1 2 3 2 4 1 1 71
"Fremskrittspartiet (FrP)" 0 1 1 2 NA 4 1 1 73
"Fremskrittspartiet (FrP)" 0 0 1 3 1 5 1 1 51
"Fremskrittspartiet (FrP)" 0 1 3 3 3 4 4 0 46
"Høyre (H)" 0 2 2 3 2 2 1 0 57
"Høyre (H)" 0 NA 2 3 3 5 3 0 29
"Fremskrittspartiet (FrP)" 0 0 3 3 3 2 4 1 70
"Fremskrittspartiet (FrP)" 1 1 3 3 2 2 1 0 33
"Høyre (H)" 0 0 1 1 2 5 NA 1 28
"Fremskrittspartiet (FrP)" 0 1 2 2 1 7 1 0 45
"Høyre (H)" 0 1 2 2 2 7 4 0 76
"Fremskrittspartiet (FrP)" 0 0 2 2 0 5 1 1 27
"Fremskrittspartiet (FrP)" 0 1 2 2 1 5 4 0 61
"Høyre (H)" 0 1 3 3 3 7 1 1 36
"Høyre (H)" 0 1 0 3 2 2 5 0 43
"Fremskrittspartiet (FrP)" 0 1 1 2 2 4 4 1 67
"Fremskrittspartiet (FrP)" 0 1 1 3 2 4 NA 1 58
"Fremskrittspartiet (FrP)" 0 1 2 3 3 5 1 1 52
"Fremskrittspartiet (FrP)" 0 1 3 3 1 5 NA 1 34
"Høyre (H)" 0 1 2 3 2 3 1 0 52
"Fremskrittspartiet (FrP)" 1 1 3 3 3 5 1 0 30
"Fremskrittspartiet (FrP)" 0 0 0 1 0 9 1 0 21
"Fremskrittspartiet (FrP)" 0 2 1 2 2 8 1 0 43
"Fremskrittspartiet (FrP)" 1 2 3 3 0 5 4 1 58
"Høyre (H)" 0 1 1 2 2 5 3 1 29
"Fremskrittspartiet (FrP)" 0 1 2 2 2 5 1 1 46
"Fremskrittspartiet (FrP)" 1 2 3 3 2 4 4 0 35
"Fremskrittspartiet (FrP)" NA 2 2 3 1 5 1 0 66
"Fremskrittspartiet (FrP)" 0 1 3 3 3 8 1 1 44
"Fremskrittspartiet (FrP)" 1 2 3 3 3 5 1 0 20
"Fremskrittspartiet (FrP)" 1 1 2 3 3 6 NA 0 76
"Fremskrittspartiet (FrP)" 0 1 3 3 2 4 4 1 66
"Fremskrittspartiet (FrP)" 0 1 2 3 3 6 1 1 39
"Fremskrittspartiet (FrP)" 0 2 2 2 2 4 1 1 45
"Fremskrittspartiet (FrP)" 0 2 2 2 2 3 1 1 36
"Fremskrittspartiet (FrP)" 0 2 3 3 3 6 1 0 77
"Fremskrittspartiet (FrP)" 0 2 2 2 1 5 1 0 38
"Fremskrittspartiet (FrP)" 1 2 2 3 2 4 1 1 48
"Fremskrittspartiet (FrP)" 0 1 1 3 2 4 4 1 61
"Fremskrittspartiet (FrP)" 0 2 3 3 3 2 NA 0 66
"Høyre (H)" 0 1 2 1 1 5 NA 0 77
"Fremskrittspartiet (FrP)" 0 1 2 2 1 5 1 0 28
"Høyre (H)" 0 1 3 3 3 5 1 1 61
"Høyre (H)" 0 1 2 3 1 5 3 1 74
"Fremskrittspartiet (FrP)" 0 0 2 2 1 5 4 1 37
"Fremskrittspartiet (FrP)" 0 1 3 3 1 7 1 1 54
"Fremskrittspartiet (FrP)" 0 1 0 3 1 4 1 1 55
"Fremskrittspartiet (FrP)" 1 1 3 3 2 9 1 0 20
"Høyre (H)" NA 1 3 3 3 5 4 1 38
"Fremskrittspartiet (FrP)" 0 0 2 3 2 4 4 1 51
"Fremskrittspartiet (FrP)" 0 2 NA 3 2 3 NA 0 68
"Fremskrittspartiet (FrP)" 0 0 3 3 3 2 1 0 19
"Fremskrittspartiet (FrP)" 0 2 1 3 3 5 4 1 32
"Høyre (H)" 0 0 1 2 0 4 2 1 37
"Fremskrittspartiet (FrP)" 0 2 3 3 3 4 NA 1 66
"Fremskrittspartiet (FrP)" 0 1 1 2 2 4 4 0 48
"Fremskrittspartiet (FrP)" 0 1 2 2 2 4 1 1 65
"Høyre (H)" 0 1 0 1 2 4 1 0 33
"Høyre (H)" 0 1 1 2 2 5 2 0 46
